Image,pageMargin,elementSpacing,spatialBalance,sizeHierarchy,typographyHierarchy,elementAlignment,textAlignment,fontChoice,textFormatting,colorScheme,colorContrast,colorApplication,elementConsistency,relatedGroups,hierarchicalFlow,emphasisTechniques,colorBrand,typographyBrand,visualStyling,visualCohesion,communicationEffectiveness
example_10025.jpg,4,4,3,4,4,4,5,3,4,4,3,4,5,5,4,5,5,5,5,4,4
example_1004.jpg,3,3,3,4,3,2,2,3,1,3,3,3,2,3,2,1,3,3,4,2,2
example_10136.jpg,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5
example_10148.jpg,4,2,2,3,2,2,3,4,2,3,2,3,4,4,2,3,4,3,2,2,3
example_10240.jpg,4,3,3,2,3,3,3,3,2,4,4,3,4,4,3,3,4,3,3,2,3
example_10393.jpg,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
example_10449.jpg,5,5,4,4,4,4,4,2,3,3,4,3,5,5,3,3,3,3,4,4,3
example_10586.jpg,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,3,4,4,4,5,3
example_10741.jpg,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,2,3,3,3,3,2
example_10751.jpg,4,0,1,2,1,1,3,3,1,4,4,4,4,4,3,2,4,3,3,2,2
example_10789.jpg,5,3,3,4,3,3,3,2,3,4,4,4,5,5,3,3,3,2,3,3,4
example_108.jpg,4,4,2,2,3,4,3,3,2,3,3,2,3,2,3,1,2,1,2,2,3
example_9988.jpg,4,4,5,4,5,3,5,4,4,4,3,4,5,5,3,4,4,4,5,5,5
example_9851.jpg,3,3,1,2,3,3,5,5,2,4,2,3,4,4,5,3,3,4,5,4,1
example_9845.jpg,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,4,2,2,3,4,3
example_9782.jpg,3,4,2,3,3,4,3,5,3,4,5,3,3,4,4,3,3,3,3,4,5
example_9632.jpg,1,3,3,3,3,3,4,4,5,5,5,4,5,3,4,3,4,4,4,4,5
example_9537.jpg,1,3,1,3,1,3,5,5,5,5,5,5,5,4,3,1,4,4,3,4,3
example_1808.jpg,2,1,1,1,4,1,0,4,0,0,1,3,1,1,2,3,3,1,1,0,1
example_18169.jpg,5,5,5,5,5,5,5,5,3,3,3,4,4,5,4,4,5,4,4,4,3
example_950.jpg,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4
